height_mm,volume_l
0,567.02
79,2648.01
100,3333.02
150,4963.02
200,6594.0
250,8226.0
300,9858.99
350,11488.99
400,13120.99
450,14753.0
500,16384.02
550,18016.02
600,19650.0
650,21284.99
700,22920.02
750,24556.0
800,26191.0
850,27825.99
900,29461.03
950,31096.02
1000,32731.02
1050,34367.03
1100,36002.03
1150,37636.0
1200,39268.01
1250,40899.03
1300,42531.03
1350,44162.01
1400,45794.02
1450,47425.04
1500,49057.01
1550,50688.03
1600,52320.03
1650,53951.01
1700,55583.02
1750,57214.04
1800,58846.04
1850,60484.03
1900,62121.03
1950,63758.03
2000,65395.03
2050,67032.03
2100,68669.04
2150,70306.04
2200,71943.04
2250,73580.04
2300,75218.02
2350,76855.03
2400,78492.03
2450,80129.03
2500,81766.03
2550,83403.03
2600,85040.03
2650,86677.03
2700,88314.04
2750,89951.04
2800,91589.06
2850,93226.06
2900,94863.06
2950,96500.06
3000,98137.03
3050,99774.03
3100,101411.03
3150,103048.03
3200,104685.03
3250,106323.06
3300,107960.06
3350,109597.06
3400,111234.06
3450,112871.06
3500,114508.06
3550,116145.06
3600,117782.07
3650,119423.04
3700,121064.06
3750,122705.07
3800,124346.05
3850,125988.04
3900,127629.06
3950,129270.07
4000,130911.05
4050,132552.06
4100,134193.07
4150,135835.07
4200,137476.05
4250,139117.06
4300,140758.08
4350,142399.05
4400,144040.07
4450,145682.06
4500,147323.08
4550,148964.05
4600,150605.07
4650,152246.08
4700,153887.06
4750,155529.06
4800,157170.07
4850,158811.08
4900,160452.06
4950,162093.07
5000,163734.09
5050,165376.09
5100,167017.06
5150,168658.08
5200,170299.09
5250,171940.07
5300,173581.08
5350,175223.08
5400,176864.09
5450,178507.07
5500,180151.08
5550,181795.08
5600,183440.07
5650,185084.08
5700,186728.08
5750,188372.08
5800,190016.09
5850,191661.08
5900,193305.08
5950,194949.09
6000,196593.09
6050,198238.08
6100,199882.08
6150,201526.09
6200,203170.09
6250,204815.08
6300,206459.08
6350,208103.09
6400,209747.09
6450,211391.1
6500,213036.09
6550,214680.09
6600,216324.09
6650,217968.1
6700,219613.09
6750,221257.09
6800,222901.1
6850,224545.1
6900,226190.09
6950,227834.09
7000,229478.1
7050,231122.1
7100,232766.11
7150,234411.09
7200,236055.1
