height_mm,volume_l
0,757.5
30,824.27
80,935.56
100,3818.53
120,1024.6
180,1167.42
200,7080.92
230,1325.23
290,1514.58
300,10343.45
350,1703.89
400,13607.12
410,1893.2
500,16871.13
600,20136.46
700,23406.75
800,26677.05
900,29947.34
1000,33217.63
1100,36487.96
1200,39755.42
1300,43019.43
1400,46283.43
1500,49547.41
1600,52811.42
1700,56075.42
1800,59339.62
1900,62604.84
2000,65870.03
2100,69135.25
2200,72400.43
2300,75665.65
2400,78930.83
2500,82196.05
2600,85461.24
2700,88726.46
2800,91991.64
2900,95256.86
3000,98522.04
3100,101787.26
3200,105052.44
3300,108317.67
3400,111582.85
3500,114848.07
3600,118113.02
3700,121375.52
3800,124638.01
3900,127900.51
4000,131163.0
4100,134425.54
4200,137688.03
4300,140950.53
4400,144213.02
4500,147475.52
4600,150738.05
4700,154000.54
4800,157263.04
4900,160525.53
5000,163788.03
5100,167050.52
5200,170313.06
5300,173575.55
5400,176838.05
5500,180100.81
5600,183363.64
5700,186626.44
5800,189889.24
5900,193152.04
6000,196414.83
6100,199677.63
6200,202940.43
6300,206203.23
6400,209466.03
6500,212728.82
6600,215991.66
6700,219254.46
6800,222517.26
6900,225780.05
7000,229042.85
7100,232305.65
7200,235568.45
7270,237754.52
