height_mm,volume_l
0,244.99
100,1881.01
200,3518.01
300,5160.01
400,6802.01
500,8456.0
600,10122.0
700,11766.99
800,13403.99
900,15040.01
1000,16676.03
1100,18312.01
1200,19948.02
1300,21585.02
1400,23221.0
1500,24857.02
1600,26495.01
1700,28134.01
1800,29772.0
1900,31411.01
2000,33049.03
2100,34688.0
2200,36326.02
2300,37965.03
2400,39604.0
2500,41242.02
2600,42881.03
2700,44519.02
2800,46158.02
2900,47796.01
3000,49435.02
3100,51073.04
3200,52712.01
3300,54350.03
3400,55988.02
3500,57627.03
3600,59265.01
3700,60903.04
3800,62542.04
3900,64180.03
4000,65818.01
4100,67455.02
4200,69088.04
4300,70720.05
4400,72353.04
4500,73986.02
4600,75619.05
4700,77252.04
4800,78884.04
4900,80517.03
5000,82150.02
5100,83783.05
5200,85415.05
5300,87048.04
5400,88681.03
5500,90314.06
5600,91946.02
5700,93579.05
5800,95212.04
5900,96845.03
6000,98479.04
6100,100114.03
6200,101748.05
6300,103383.04
6400,105018.04
6500,106652.05
6600,108287.04
6700,109922.04
6800,111556.05
6900,113191.04
7000,114825.05
7100,116460.05
7200,118095.04
7300,119729.05
7400,121364.05
7500,122999.04
7600,124633.06
7700,126268.05
7800,127902.06
7900,129535.05
8000,131168.08
8100,132802.05
8200,134435.08
8300,136069.05
8400,137702.08
8500,139335.06
8600,140969.08
8700,142604.07
8800,144242.06
8900,145881.06
9000,147520.07
9100,149158.06
9200,150797.06
