height_mm,volume_l
0,1500.01
20,1999.98
50,3365.0
100,5642.0
150,7917.0
200,10191.99
250,12468.01
300,14743.01
350,17019.02
400,19296.02
450,21572.0
500,23849.0
550,26125.02
600,28405.01
650,30686.02
700,32966.02
750,35246.01
800,37526.04
850,39807.01
900,42087.0
950,44367.03
1000,46648.01
1050,48928.04
1100,51208.03
1150,53489.04
1200,55766.04
1250,58043.04
1300,60319.02
1350,62596.02
1400,64872.04
1450,67149.04
1500,69425.02
1550,71702.02
1600,73978.04
1650,76255.04
1700,78531.06
1750,80808.06
1800,83084.03
1850,85361.04
1900,87637.05
1950,89914.05
2000,92190.03
2050,94467.03
2100,96743.05
2150,99019.03
2200,101295.05
2250,103571.06
2300,105847.04
2350,108124.04
2400,110400.06
2450,112676.04
2500,114952.05
2550,117228.07
2600,119504.05
2650,121780.07
2700,124056.04
2750,126332.06
2800,128608.08
2850,130884.06
2900,133161.06
2950,135437.07
3000,137713.05
3050,139989.07
3100,142265.05
3150,144541.07
3200,146817.08
3250,149093.06
3300,151369.08
3350,153645.06
3400,155921.07
3450,158197.09
3500,160474.09
3550,162750.07
3600,165026.09
3650,167302.07
3700,169578.08
3750,171854.1
3800,174130.08
3850,176406.09
3900,178682.07
3950,180958.09
4000,183234.07
4050,185510.09
4100,187787.09
4150,190063.1
4200,192340.1
4250,194619.07
4300,196898.08
4350,199176.1
4400,201455.11
4450,203733.1
4500,206012.1
4550,209079.08
4600,210569.1
4650,212848.1
4700,215126.09
4750,217405.09
4800,219684.1
4850,221962.09
4900,224241.09
4950,226520.1
5000,228798.12
5050,231077.09
5100,233355.12
5150,235634.12
5200,237913.13
5250,240191.12
5300,242470.12
5350,244749.13
5400,247027.12
5450,249306.12
5500,251584.11
5550,253863.11
5600,256142.12
5650,258420.11
5700,260699.11
5750,262977.14
5800,265256.11
5850,267535.11
5900,269813.14
5950,272092.14
6000,274371.11
6050,276649.14
6100,278928.14
6150,281206.13
6200,283485.14
6250,285764.14
6300,288047.12
6350,290332.15
6400,292618.12
6450,294904.13
6500,297190.14
6550,299476.15
6600,301761.14
6650,304047.15
6700,306333.16
6750,308619.13
6800,310905.14
6850,313190.13
6900,315476.14
6950,317762.15
7000,320048.16
