height_mm,volume_l
0,3000.01
100,8093.02
200,14222.02
300,20346.02
400,26474.0
500,32611.02
600,38747.02
700,44884.01
800,51021.03
900,57157.03
1000,63294.02
1100,69424.04
1200,75553.03
1300,81683.05
1400,87812.05
1500,93942.03
1600,100071.03
1700,106200.07
1800,112330.05
1900,118459.05
2000,124589.07
2100,130719.05
2200,136854.07
2300,142990.07
2400,149125.09
2500,155261.09
2600,161396.07
2700,167531.08
2800,173667.08
2900,179802.1
3000,185938.1
3100,192073.08
3200,198209.08
3300,204344.1
3400,210480.1
3500,216615.12
3600,222750.1
3700,228886.1
3800,235021.11
3900,241157.11
4000,247292.13
4100,253428.13
4200,259563.11
4300,265701.12
4400,271838.14
4500,277976.15
4600,284113.14
4700,290251.14
4800,296388.13
4900,302526.14
5000,308663.16
5100,314801.17
5200,320938.15
5300,327075.14
5400,333213.14
5500,339350.17
5600,345488.17
5700,351625.16
5800,357763.17
5900,363900.19
6000,370038.16
6100,376175.18
6200,382313.19
6300,388451.2
6400,394591.17
6500,400732.17
6600,406873.21
6700,413014.2
6800,419155.2
6900,425296.2
7000,431436.21
7100,437577.21
7200,443718.21
7300,449859.21
7400,456000.2
7500,462141.2
7600,468282.24
7700,474422.21
7800,480563.21
7900,486704.25
8000,492845.25
8100,498986.24
8200,505127.24
8300,511267.25
8400,517407.23
8500,523530.25
8600,529653.26
8700,535776.24
8800,541899.26
8900,548021.26
9000,554144.27
9100,560267.25
9200,566390.27
9300,572513.29
9400,578635.28
9500,584758.26
9600,590881.28
9700,597004.3
9800,603126.29
9900,609249.27
10000,615372.29
10100,621495.3
10200,627618.28
10300,633749.29
10400,639884.3
10500,646019.32
10600,652154.3
10700,658289.32
10800,664424.3
10900,670559.31
