height_mm,volume_l
0,2362.13
20,3266.85
50,4625.47
100,6888.16
150,9150.78
200,11416.92
250,13678.85
300,15936.39
350,18197.04
400,20458.37
450,22720.87
500,24987.92
550,27255.68
600,29523.45
650,31791.33
700,34059.17
750,36327.01
800,38594.89
850,40862.73
900,43130.57
950,45398.41
1000,47666.28
1050,49933.14
1100,52197.5
1150,54461.85
1200,56726.21
1250,58990.57
1300,61255.0
1350,63519.47
1400,65783.91
1450,68048.38
1500,70315.5
1550,72585.8
1600,74856.1
1650,77126.4
1700,79396.7
1750,81667.0
1800,83937.3
1850,86207.61
1900,88477.91
1950,90748.21
2000,93018.51
2050,95288.81
2100,97559.15
2150,99829.45
2200,102099.75
2250,104370.05
2300,106640.35
2350,108910.65
2400,111180.95
2450,113451.25
2500,115721.55
2550,117991.85
2600,120262.15
2650,122532.45
2700,124802.76
2750,127073.06
2800,129343.36
2850,131613.66
2900,133883.96
2950,136154.26
3000,138424.56
3050,140691.98
3100,142959.45
3150,145226.91
3200,147494.37
3250,149761.79
3300,152029.25
3350,154296.72
3400,156564.14
3450,158831.6
3500,161099.06
3550,163366.52
3600,165633.95
3650,167901.41
3700,170168.87
3750,172436.3
3800,174703.76
3850,176971.22
3900,179238.68
3950,181506.1
4000,183773.57
4050,186041.03
4100,188308.49
4150,190575.91
4200,192843.37
4250,195110.84
4300,197378.26
4350,199645.72
4400,201913.18
4450,204180.64
4500,206448.07
4550,208713.33
4600,210976.52
4650,213239.74
4700,215502.93
4750,217766.11
4800,220029.33
4850,222292.52
4900,224555.74
4950,226818.92
5000,229082.14
5050,231458.89
5100,233608.55
5150,235871.73
5200,238134.92
5250,240398.14
5300,242661.32
5350,244924.55
5400,247187.73
5450,249450.95
5500,251714.14
5550,253977.36
5600,256240.54
5650,258503.73
5700,260766.95
5750,263030.13
5800,265293.35
5850,267556.54
5900,269819.76
5950,272082.95
6000,274346.17
6050,276609.39
6100,278873.25
6150,281137.12
6200,283400.95
6250,285664.81
6300,287928.64
6350,290192.51
6400,292456.37
6450,294720.2
6500,296984.07
6550,299247.93
6600,301511.76
6650,303775.62
6700,306039.45
6750,308303.32
6800,310567.18
6850,312831.01
6900,315094.88
6950,317358.74
7000,319622.57
7050,321886.43
7100,324150.26
7150,326414.13
7200,328677.99
7250,330941.82
7300,333205.69
7350,335469.51
7351,335514.83
