height_mm,volume_l
0,405.23
35,2463.02
50,3073.0
100,5105.01
150,7138.0
200,9170.01
250,11201.0
300,13233.0
350,15265.01
400,17298.01
450,19331.0
500,21368.01
550,23405.01
600,25442.02
650,27479.02
700,29516.03
750,31553.0
800,33590.0
850,35627.01
900,37665.04
950,39702.0
1000,41739.01
1050,43774.01
1100,45807.0
1150,47840.03
1200,49873.03
1250,51906.02
1300,53939.01
1350,55972.04
1400,58005.04
1450,60038.03
1500,62071.02
1550,64104.02
1600,66137.05
1650,68170.04
1700,70203.04
1750,72236.03
1800,74269.02
1850,76298.04
1900,78326.04
1950,80354.03
2000,82382.03
2050,84411.05
2100,86439.05
2150,88467.04
2200,90495.04
2250,92523.03
2300,94552.05
2350,96580.05
2400,98608.05
2450,100636.04
2500,102665.06
2550,104693.06
2600,106721.05
2650,108749.05
2700,110777.05
2750,104099.62
2800,114834.06
2850,116862.06
2900,118890.06
2950,120919.07
3000,122947.07
3050,124975.07
3100,127003.06
3150,129031.06
3200,131060.08
3250,133088.08
3300,135116.07
3350,137144.07
3400,139173.05
3450,141201.08
3500,143229.08
3550,145257.08
3600,147285.07
3650,149312.09
3700,151335.09
3750,153357.06
3800,155379.08
3850,157401.06
3900,159423.07
3950,161446.07
4000,163468.09
4050,165490.06
4100,167512.08
4150,169535.08
4200,171557.1
4250,173579.07
4300,175601.09
4350,177623.07
4400,179646.07
4450,181668.08
4500,183690.1
4550,185712.07
4600,187734.09
4650,189757.09
4700,191779.11
4750,193801.08
4800,195823.1
4850,197846.1
4900,199868.08
4950,201890.09
5000,203912.11
5050,205934.09
5100,207957.09
5150,209979.1
5200,212001.12
5250,214023.09
5300,216045.11
5350,218068.11
5400,220090.09
5450,222112.1
5500,224134.12
5550,226155.11
5600,228177.09
5650,230198.12
5700,232219.11
5750,234241.09
5800,236262.12
5850,238284.1
5900,240305.09
5950,242326.13
6000,244348.1
6050,246369.13
6100,248390.13
6150,250412.11
6200,252433.14
6250,254455.12
6300,256476.11
6350,258497.14
6400,260519.12
6450,262540.11
6500,264562.13
6550,266583.12
6600,268604.11
6650,270626.13
6700,272647.12
6750,274669.14
6800,276690.13
6850,278711.13
6900,280733.14
6950,282754.13
7000,284776.15
7050,286797.14
7100,288818.14
7150,290840.15
7200,292861.15
7250,294883.12
