height_mm,volume_l
0,3406.98
30,4542.0
50,5448.0
100,7713.0
150,9978.0
200,12246.0
250,14513.99
300,16782.02
350,19048.0
400,21313.0
450,23579.03
500,25847.02
550,28115.99
600,30385.01
650,32654.02
700,34923.0
750,37192.01
800,39461.03
850,41729.02
900,43995.0
950,46261.03
1000,48529.02
1050,50798.03
1100,53065.04
1150,55330.04
1200,57596.02
1250,59861.03
1300,62127.01
1350,64392.01
1400,66657.01
1450,68923.04
1500,71188.04
1550,73453.04
1600,75717.02
1650,77980.05
1700,80244.03
1750,82508.05
1800,84772.03
1850,87036.04
1900,89300.06
1950,91564.04
2000,93828.06
2050,96092.03
2100,98355.03
2150,100619.05
2200,102883.06
2250,105147.04
2300,107411.06
2350,109675.04
2400,111939.06
2450,114203.07
2500,116467.05
2550,118730.05
2600,120994.06
2650,123258.04
2700,125522.06
2750,127786.08
2800,130050.06
2850,132314.07
2900,134578.05
2950,136842.07
3000,139105.06
3050,141368.06
3100,143625.07
3150,145882.09
3200,148139.06
3250,150396.08
3300,152653.09
3350,154910.07
3400,157167.08
3450,159424.09
3500,161681.07
3550,163938.08
3600,166195.06
3650,168453.1
3700,170710.07
3750,172967.09
3800,175224.1
3850,177481.08
3900,179738.09
3950,181995.1
4000,184252.08
4050,186509.09
4100,188766.11
4150,191023.08
4200,193280.1
4250,195537.07
4300,197794.09
4350,200051.1
4400,202308.08
4450,204565.09
4500,206822.11
4550,209079.08
4600,211330.11
4650,213578.12
4700,215826.09
4750,218075.11
4800,220323.12
4850,222571.12
4900,224819.09
4950,227067.09
5000,229315.1
5050,231563.1
5100,233812.13
5150,236060.1
5200,238308.1
5250,240556.11
5300,242804.11
5350,245052.11
5400,247300.12
5450,249548.12
5500,251797.11
5550,254045.12
5600,256293.12
5650,258541.13
5700,260789.13
5750,263037.14
5800,265285.14
5850,267533.11
5900,269782.13
5950,272082.95
6000,274278.14
6050,276526.15
6100,278775.14
6150,281025.15
6200,283276.14
6250,285527.14
6300,287778.13
6350,290028.14
6400,292279.14
6450,294530.13
6500,296781.13
6550,299031.14
6600,301282.14
6650,303533.13
6700,305784.13
6750,308034.14
6800,310285.13
6850,312536.16
6900,314787.16
6950,317038.15
7000,319288.17
7050,321539.16
7100,323790.16
7150,326041.15
7200,328291.16
7250,330542.16
7300,332793.15
7350,335044.15
7400,337294.16
