height_mm,volume_l
0,1189.0
95,4957.0
100,5182.0
150,7430.01
200,9679.0
250,11928.02
300,14177.01
350,16427.02
400,18678.02
450,20928.03
500,23182.01
550,25437.02
600,27691.01
650,29946.01
700,32200.0
750,34454.02
800,36709.03
850,38963.02
900,41218.02
950,43367.53
1000,45640.67
1050,47913.85
1100,50185.02
1150,52454.19
1200,54723.35
1250,56993.54
1300,59262.7
1350,61531.87
1400,63801.03
1450,66071.22
1500,68340.39
1550,70609.55
1600,72878.75
1650,75148.9
1700,77418.07
1750,79687.27
1800,81956.44
1850,84225.6
1900,86495.79
1950,88764.95
2000,91034.12
2050,93303.28
2100,95573.47
2150,97846.61
2200,100119.79
2250,102392.93
2300,104667.09
2350,106940.27
2400,109213.41
2450,111487.57
2500,113760.75
2550,116033.92
2600,118308.05
2650,120581.23
2700,122854.4
2750,125128.53
2800,127401.71
2850,129674.88
2900,131949.01
2950,134222.18
3000,136495.36
3050,138769.49
3100,141042.66
3150,143315.84
3200,145590.0
3250,147863.14
3300,150136.32
3350,152410.48
3400,154683.62
3450,156956.8
3500,159230.96
3550,161504.1
3600,163777.28
3650,166051.44
3700,168324.58
3750,170598.74
3800,172871.92
3850,175145.06
3900,177419.22
3950,179692.4
4000,181965.54
4050,184239.7
4100,186512.88
4150,188786.02
4200,191060.18
4250,193336.35
4300,195612.48
4350,197889.63
4400,200165.8
4450,202442.95
4500,204719.08
4550,206996.23
4600,209272.4
4650,211549.55
4700,213825.68
4750,216102.84
4800,218379.01
4850,220656.16
4900,222932.29
4950,225209.44
5000,227486.59
5050,229762.76
5100,232039.91
5150,234316.04
5200,236593.2
5250,238869.36
5300,241146.52
5350,243422.65
5400,245699.8
5450,247975.97
5500,250253.12
5550,252529.25
5600,254806.4
5650,257082.57
5700,259359.68
5750,261635.85
5800,263913.0
5850,266189.17
5900,268466.29
5950,270742.46
6000,273019.61
6050,275296.76
6100,277572.89
6150,279850.04
6200,282126.21
6250,284403.36
6300,286679.49
6350,288955.66
6400,291232.81
6450,293508.94
6500,295785.11
6550,298062.26
6600,300338.43
6650,302614.56
6700,304891.71
6750,307167.88
6800,309444.01
6850,311720.18
6900,313997.33
6950,316273.46
7000,318549.63
7050,320826.78
7100,323102.91
7150,325379.08
7200,327656.23
7250,329932.36
7300,332208.53
