height_mm,volume_l
0,417.57
21,1099.4
50,2042.72
100,3669.16
150,5295.41
200,6921.78
250,8548.48
300,10175.22
350,11799.92
400,13426.02
450,15052.24
500,16678.6
550,18305.0
600,19931.4
650,21557.81
700,23184.21
750,24810.57
800,26436.98
850,28063.45
900,29693.0
950,31322.54
1000,32952.12
1050,34581.67
1100,36211.21
1150,37840.76
1200,39470.3
1250,41099.84
1300,42729.43
1350,44358.97
1400,45988.51
1450,47616.43
1500,49242.83
1550,50869.23
1600,52495.64
1650,54122.04
1700,55748.44
1750,57374.84
1800,59001.7
1850,60630.86
1900,62260.07
1950,63889.27
2000,65518.47
2050,67147.68
2100,68776.88
2150,70406.09
2200,72035.29
2250,73664.49
2300,75293.7
2350,76922.9
2400,78552.1
2450,80181.31
2500,81810.51
2550,83439.67
2600,85068.88
2650,86698.08
2700,88327.28
2750,89956.49
2800,91585.69
2850,93214.89
2900,94844.1
2950,96473.3
3000,98102.5
3050,99731.71
3100,101360.91
3150,102990.11
3200,104619.32
3250,106248.52
3300,107877.69
3350,109506.89
3400,111136.09
3450,112765.3
3500,114394.5
3550,116023.7
3600,117652.91
3650,119284.38
3700,120916.01
3750,122547.67
3800,124179.3
3850,125810.96
3900,127442.63
3950,129074.25
4000,130705.92
4050,132337.58
4100,133969.21
4150,135600.87
4200,137232.53
4250,138864.16
4300,140495.82
4350,142127.49
4400,143759.11
4450,145390.78
4500,147022.44
4550,148654.07
4600,150285.73
4650,151917.39
4700,153549.02
4750,155180.68
4800,156812.35
4850,158443.97
4900,160075.64
4950,161707.26
5000,163338.93
5050,164970.59
5100,166602.22
5150,168233.88
5200,169865.55
5250,171497.17
5300,173128.84
5350,174760.5
5400,176392.13
5450,178024.59
5500,179657.8
5550,181291.02
5600,182924.19
5650,184557.41
5700,186190.59
5750,187823.8
5800,189457.02
5850,191090.2
5900,192723.41
5950,194356.59
6000,195989.81
6050,197623.02
6100,199256.2
6150,200889.42
6200,202522.6
6250,204155.81
6300,205789.03
6350,207422.21
6400,209055.42
6450,210688.6
6500,212321.82
6550,213955.03
6600,215588.21
6650,217221.43
6700,218854.6
6750,220487.82
6800,222121.04
6850,223754.21
6900,225387.43
6950,227020.61
7000,228653.82
7050,230287.04
7100,231920.22
7150,233553.43
7200,235186.61
7250,236819.83
7281,237832.43
